dataset,model,ratio_per_omic,balanced_accuracy_mean,macro_f1_mean,accuracy_mean,macro_precision_mean,macro_recall_mean,weighted_f1_mean,mcc_mean,cohen_kappa_mean,macro_roc_auc_ovr_mean,weighted_roc_auc_ovr_mean,macro_pr_auc_ovr_mean,log_loss_mean,brier_score_mean,ece_mean,balanced_accuracy_sd,macro_f1_sd,accuracy_sd,macro_precision_sd,macro_recall_sd,weighted_f1_sd,mcc_sd,cohen_kappa_sd,macro_roc_auc_ovr_sd,weighted_roc_auc_ovr_sd,macro_pr_auc_ovr_sd,log_loss_sd,brier_score_sd,ece_sd,n_units
TCGA-BRCA,logreg_early,1e-05,0.7168392808890722,0.6723363043061955,0.6689160072383756,0.6604476885641214,0.7168392808890722,0.6821345975153151,0.5232548463532802,0.5120577210610117,0.8765984757102373,0.8470749193000374,0.7290044925018141,0.7318986481276871,0.4423115721371384,0.1164667511732509,0.005842050525611193,0.004196566527535171,0.006693207617951668,0.003470805772957648,0.005842050525611193,0.005710694788829668,0.007167980391191058,0.007996648882154265,0.0022209950187794766,0.0013879548657978631,0.0016234362725346748,0.001763519429817768,0.002255868016870798,0.0045376815374363055,3
TCGA-BRCA,logreg_early,0.0001,0.7506156139985332,0.7170259366868269,0.7181151085756349,0.704285160151382,0.7506156139985332,0.7269589128534277,0.5816325830459372,0.5747746513205978,0.9011161318765715,0.8786739716833881,0.7747716063342295,0.6665149628647009,0.39222215939872607,0.1086661196318688,0.005809512632479845,0.004273885005102898,0.0019107948357211196,0.006323201787973925,0.005809512632479845,0.002296890888329626,0.0034929012296101318,0.0033236453120065613,0.0017405681304989312,0.001165160971266338,0.0060008845470501905,0.010584229007334916,0.0032429350428657,0.001211437719347798,3
TCGA-BRCA,logreg_early,0.001,0.8045671829109425,0.7915261968250418,0.7863601858667648,0.7874340266165795,0.8045671829109425,0.7919515223659274,0.6726734801159603,0.6695939362627565,0.9290044552022901,0.9117847034906693,0.8422687724248,0.7176441393532974,0.32792326164963,0.11801470578004064,0.0015252786254561028,0.003630489617143609,0.003842131494369843,0.007045830424737603,0.0015252786254561028,0.0038582334607741987,0.005465826132190283,0.00538165022710923,0.0019065060502953812,0.0033516263981771956,0.004363670528279599,0.024488714589166433,0.007438025170247079,0.007188829125134572,3
TCGA-BRCA,logreg_early,0.01,0.8357989402677699,0.832187232806073,0.8578678996442154,0.8329746692638048,0.8357989402677699,0.8587833528180829,0.7765788042660424,0.7754262170501199,0.9678902475306872,0.9641696844823682,0.9052237980520211,0.46919740917625363,0.21638205231345822,0.08131959507263407,0.0034711667724083204,0.005488203788945096,0.009329855522199334,0.007871073861966895,0.0034711667724083204,0.009047938472922094,0.013626794798852461,0.01417226920749252,0.00271673786231528,0.003264790747473707,0.00607929999821203,0.022491346244676007,0.011228490906714522,0.005468176349389803,3
TCGA-BRCA,logreg_early,0.02,0.8348584715980238,0.8334035077424681,0.8608222917433443,0.8379355117094366,0.8348584715980238,0.8613710025712568,0.7808946827754014,0.7794388628498311,0.9700937014235239,0.9665962571659996,0.908491684948749,0.45007120704512876,0.21021255625423876,0.07865724000171208,0.0014379027768306241,0.0011926452191364178,0.0016950125987018013,0.003266578132577569,0.0014379027768306241,0.001968438159629012,0.0019400614863464213,0.0028095365030731453,0.0013352247404551025,0.0022270596148808944,0.0021397588645586554,0.016043792718705246,0.006160452845935707,0.0031219232121422425,3
TCGA-BRCA,logreg_early,0.05,0.8419508933023075,0.840415736404828,0.86595663108821,0.843504947521108,0.8419508933023075,0.8657468832303445,0.7880987751837948,0.7870081607281197,0.9722762321707544,0.9691828099550394,0.9120400439140277,0.4455916991072726,0.202488522009315,0.08088310569184916,0.006301337117683719,0.005179080691763725,0.006696776436914063,0.004845578537913127,0.006301337117683719,0.006730834805683768,0.010309102208762333,0.01073360543038935,0.0004613526661172429,0.0005607204731834375,0.0015354359002405801,0.008003254877419347,0.005916783288579467,0.0027493580715359073,3
TCGA-BRCA,logreg_early,0.1,0.8462886320671421,0.8469274237297683,0.8724983897681268,0.8546034421681377,0.8462886320671421,0.8713696655954525,0.7977273040995048,0.7962441230131324,0.9728989793637514,0.9698472211978846,0.9157258747912879,0.4476708175613225,0.20335339904845684,0.08314889158135826,0.009984459797722618,0.004152040090304014,0.0025085855818519345,0.0046160951836177406,0.009984459797722618,0.0026876733597391796,0.00408612535967193,0.004410493882455266,0.0007026667014566534,0.0012462108743478387,0.0018229886045137422,0.013566203500884996,0.004937793010853745,0.0012592094151539822,3
TCGA-BRCA,logreg_early,0.2,0.8328008497380249,0.838269092279846,0.8661115200588885,0.8514877449960295,0.8328008497380249,0.8646308089733724,0.7870671386249392,0.7853345062198082,0.9707522030723932,0.9680690367139789,0.9074461109108105,0.48099829886192796,0.21308935016647493,0.09157123929902995,0.018151334791087707,0.01282599759102585,0.008357899842188316,0.011509167314073743,0.018151334791087707,0.008501084767791744,0.013778338712865466,0.013872207716437665,0.001261341652907228,0.001623841934012431,0.005599303769139901,0.013111410906522356,0.008486995677115493,0.005543986727142255,3
TCGA-BRCA,logreg_early,0.25,0.8287284523192856,0.834368864554496,0.8625958471353208,0.8467029464931374,0.8287284523192856,0.8610307346337053,0.7813883025501845,0.779705191642619,0.9699549068563673,0.9670116580564355,0.9046569504784202,0.4963537739952038,0.21867977757174303,0.0935969869881577,0.015086546296767922,0.009581447152012547,0.005035212472838051,0.007562417662643929,0.015086546296767922,0.005609486472831311,0.008456876426512423,0.008923609856358837,0.0014857231134087648,0.0018229071992768942,0.004922633079491424,0.010900611773056434,0.0067136863770745625,0.004504657724719034,3
TCGA-BRCA,logreg_early,0.5,0.8146439035930051,0.8211448979224646,0.8538047478836953,0.8345223763473649,0.8146439035930051,0.8507118169253677,0.7667571220792609,0.7645257871222806,0.9661397553706287,0.9629630074612955,0.895749332766847,0.5460016106805354,0.22992388272266728,0.10273058283563068,0.017815751799975015,0.014425072051108543,0.008663044042999028,0.009902604108414419,0.017815751799975015,0.00938267869046105,0.013768662770289937,0.014407973374608144,0.0012837503593488566,0.0017163847379154267,0.003707378447434404,0.018715308609138066,0.008330863528618422,0.004421689915497937,3
TCGA-BRCA,logreg_early,0.75,0.8042365513418174,0.8130693486433508,0.8477280395043553,0.8293144443423728,0.8042365513418174,0.8441527274790315,0.7565069904467435,0.7540513870847839,0.9630341690927261,0.9593829006104277,0.8897643246923197,0.5842876126896813,0.2416919757678783,0.10973072129321465,0.012242629129938686,0.011155815349399275,0.007755018934086442,0.008644490787282926,0.012242629129938686,0.008284161569976394,0.012026592472771014,0.012784007742066674,0.0016054537223874027,0.0018285163327426978,0.004671817894189882,0.01802810735732932,0.00802693791256705,0.004634185969560927,3
TCGA-BRCA,logreg_early,1.0,0.8001463567760175,0.8102197844687531,0.8469282910072383,0.8281835683599855,0.8001463567760175,0.8428044677015297,0.7550562197432477,0.7524346155062259,0.9625963771379689,0.9587399556753388,0.8879765500562914,0.5843181752470649,0.24399807263132867,0.10828022632544933,0.008970336554783877,0.0075965122347922635,0.002825091567425367,0.004414311300934067,0.008970336554783877,0.0032080305927420618,0.004088301577688227,0.004770036696689437,0.0017449429246922299,0.0017232393291355262,0.006169068291350202,0.02612302356550072,0.009922521767231907,0.005040851196380494,3
TCGA-BRCA,logreg_late,1e-05,0.7013073066095146,0.6334757952430913,0.6032553521040364,0.636526725719227,0.7013073066095146,0.6123199794585227,0.4840079033867208,0.4489136821658657,0.859998195826535,0.8132075564282827,0.6881869173449159,1.0113464885429888,0.5571523854514199,0.21342804084623324,0.0007131606650613199,0.005865803765132444,0.01196950482664987,0.001729056479509381,0.0007131606650613199,0.013859044244228133,0.007310164744726898,0.01176086323591204,0.0022508548727213674,0.0021878205010372512,0.0014921685478558977,0.0020430347578286622,0.001006648943145933,0.015224401240507574,3
