dataset,model,n_patients,balanced_accuracy,macro_f1,accuracy,mcc,macro_roc_auc_ovr,n_units
TCGA-BRCA,pca_logreg,500,0.822 +/- 0.017,0.816 +/- 0.016,0.838 +/- 0.010,0.749 +/- 0.018,0.952 +/- 0.004,3
TCGA-BRCA,pnet,20,0.378 +/- 0.051,0.229 +/- 0.064,0.433 +/- 0.029,0.116 +/- 0.076,0.568 +/- 0.022,3
TCGA-BRCA,pnet,50,0.539 +/- 0.026,0.485 +/- 0.047,0.673 +/- 0.023,0.459 +/- 0.046,0.808 +/- 0.105,3
TCGA-BRCA,pnet,100,0.586 +/- 0.065,0.591 +/- 0.059,0.743 +/- 0.045,0.569 +/- 0.096,0.781 +/- 0.133,3
TCGA-BRCA,pnet,200,0.710 +/- 0.068,0.717 +/- 0.071,0.793 +/- 0.050,0.667 +/- 0.089,0.902 +/- 0.083,3
TCGA-BRCA,pnet,300,0.766 +/- 0.027,0.770 +/- 0.027,0.816 +/- 0.014,0.706 +/- 0.021,0.931 +/- 0.024,3
TCGA-BRCA,pnet,400,0.782 +/- 0.007,0.795 +/- 0.002,0.827 +/- 0.010,0.722 +/- 0.018,0.915 +/- 0.013,3
TCGA-BRCA,pnet,500,0.743 +/- 0.043,0.768 +/- 0.042,0.807 +/- 0.035,0.687 +/- 0.062,0.875 +/- 0.046,3
TCGA-BRCA,svm_early,20,0.489 +/- 0.222,0.311 +/- 0.166,0.567 +/- 0.208,0.311 +/- 0.374,0.717 +/- 0.257,3
TCGA-BRCA,svm_early,50,0.637 +/- 0.103,0.566 +/- 0.098,0.733 +/- 0.081,0.588 +/- 0.152,0.862 +/- 0.033,3
TCGA-BRCA,svm_early,100,0.724 +/- 0.035,0.712 +/- 0.034,0.807 +/- 0.031,0.702 +/- 0.048,0.902 +/- 0.049,3
TCGA-BRCA,svm_early,200,0.779 +/- 0.012,0.773 +/- 0.015,0.807 +/- 0.031,0.707 +/- 0.041,0.923 +/- 0.011,3
TCGA-BRCA,svm_early,300,0.781 +/- 0.016,0.772 +/- 0.011,0.797 +/- 0.003,0.686 +/- 0.012,0.918 +/- 0.010,3
TCGA-BRCA,svm_early,400,0.825 +/- 0.016,0.813 +/- 0.008,0.819 +/- 0.020,0.731 +/- 0.025,0.941 +/- 0.006,3
TCGA-BRCA,svm_early,500,0.839 +/- 0.002,0.827 +/- 0.003,0.838 +/- 0.008,0.754 +/- 0.009,0.953 +/- 0.005,3
TCGA-KIPAN,integrao,20,0.476 +/- 0.019,0.330 +/- 0.005,0.496 +/- 0.007,0.157 +/- 0.028,0.603 +/- 0.033,3
TCGA-KIPAN,integrao,50,0.625 +/- 0.105,0.552 +/- 0.117,0.665 +/- 0.087,0.429 +/- 0.138,0.771 +/- 0.066,3
TCGA-KIPAN,integrao,100,0.710 +/- 0.006,0.659 +/- 0.021,0.757 +/- 0.013,0.595 +/- 0.010,0.818 +/- 0.011,3
TCGA-KIPAN,integrao,200,0.825 +/- 0.032,0.795 +/- 0.029,0.856 +/- 0.019,0.744 +/- 0.034,0.904 +/- 0.040,3
TCGA-KIPAN,integrao,300,0.819 +/- 0.022,0.793 +/- 0.029,0.854 +/- 0.022,0.739 +/- 0.041,0.902 +/- 0.008,3
TCGA-KIPAN,integrao,400,0.848 +/- 0.021,0.827 +/- 0.025,0.869 +/- 0.014,0.765 +/- 0.025,0.916 +/- 0.016,3
TCGA-KIPAN,integrao,500,0.842 +/- 0.009,0.814 +/- 0.006,0.863 +/- 0.006,0.758 +/- 0.014,0.927 +/- 0.014,3
TCGA-KIPAN,logreg_early,20,0.767 +/- 0.100,0.549 +/- 0.079,0.783 +/- 0.104,0.668 +/- 0.188,0.902 +/- 0.136,3
TCGA-KIPAN,logreg_early,50,0.867 +/- 0.019,0.785 +/- 0.036,0.920 +/- 0.035,0.862 +/- 0.056,0.975 +/- 0.017,3
TCGA-KIPAN,logreg_early,100,0.872 +/- 0.035,0.860 +/- 0.039,0.933 +/- 0.015,0.882 +/- 0.027,0.958 +/- 0.038,3
TCGA-KIPAN,logreg_early,200,0.949 +/- 0.004,0.934 +/- 0.004,0.957 +/- 0.003,0.921 +/- 0.006,0.993 +/- 0.005,3
TCGA-KIPAN,logreg_early,300,0.940 +/- 0.031,0.911 +/- 0.045,0.946 +/- 0.025,0.904 +/- 0.044,0.990 +/- 0.003,3
TCGA-KIPAN,logreg_early,400,0.938 +/- 0.020,0.916 +/- 0.012,0.951 +/- 0.009,0.912 +/- 0.018,0.989 +/- 0.003,3
TCGA-KIPAN,logreg_early,500,0.944 +/- 0.008,0.910 +/- 0.006,0.945 +/- 0.006,0.902 +/- 0.011,0.990 +/- 0.003,3
TCGA-KIPAN,logreg_late,20,0.833 +/- 0.088,0.624 +/- 0.080,0.833 +/- 0.076,0.780 +/- 0.108,0.926 +/- 0.071,3
TCGA-KIPAN,logreg_late,50,0.904 +/- 0.083,0.829 +/- 0.088,0.940 +/- 0.040,0.893 +/- 0.073,0.963 +/- 0.048,3
TCGA-KIPAN,logreg_late,100,0.922 +/- 0.031,0.913 +/- 0.042,0.953 +/- 0.012,0.916 +/- 0.024,0.986 +/- 0.007,3
