dataset,method,omic_removed,balanced_accuracy,delta_balanced_accuracy,delta_macro_f1
TCGA-KIPAN,svm_early,cnv,0.9175,0.0037,0.0031
TCGA-KIPAN,pca_logreg,mrna,0.9052,0.0091,0.029
TCGA-KIPAN,pca_logreg,dnam,0.8987,0.0026,0.0152
TCGA-KIPAN,pca_logreg,rppa,0.8474,-0.0487,-0.0193
TCGA-KIPAN,pca_logreg,mirna,0.9026,0.0065,0.0248
TCGA-KIPAN,pca_logreg,cnv,0.9089,0.0128,0.0321
TCGA-KIPAN,logreg_late,mrna,0.974,-0.0033,-0.004
TCGA-KIPAN,logreg_late,dnam,0.9758,-0.0016,0.0021
TCGA-KIPAN,logreg_late,rppa,0.9612,-0.0161,-0.0204
TCGA-KIPAN,logreg_late,mirna,0.9697,-0.0077,-0.0075
TCGA-KIPAN,logreg_late,cnv,0.9383,-0.0391,-0.0229
TCGA-KIPAN,pnet,mrna,0.9159,0.0046,0.003
TCGA-KIPAN,pnet,dnam,0.9007,-0.0106,-0.0109
TCGA-KIPAN,pnet,rppa,0.8399,-0.0714,-0.0626
TCGA-KIPAN,pnet,mirna,0.9113,0.0001,-0.0005
TCGA-KIPAN,pnet,cnv,0.912,0.0008,0.0015
TCGA-KIPAN,mofa,mrna,0.6872,0.103,0.1385
TCGA-KIPAN,mofa,dnam,0.5431,-0.0411,0.0584
TCGA-KIPAN,mofa,rppa,0.6457,0.0615,0.0635
TCGA-KIPAN,mofa,mirna,0.6432,0.059,0.074
TCGA-KIPAN,mofa,cnv,0.4453,-0.1389,-0.148
TCGA-KIPAN,integrao,mrna,0.8907,0.0141,0.0073
TCGA-KIPAN,integrao,dnam,0.8362,-0.0404,-0.0569
TCGA-KIPAN,integrao,rppa,0.7493,-0.1273,-0.1414
TCGA-KIPAN,integrao,mirna,0.8799,0.0032,-0.0085
TCGA-KIPAN,integrao,cnv,0.8591,-0.0176,-0.0051
