dataset,model,n_omics,omic_combination,balanced_accuracy,macro_f1,accuracy,mcc,n_units
TCGA-BRCA,logreg_early,2,dnam+cnv,0.661 +/- 0.011,0.649 +/- 0.009,0.678 +/- 0.006,0.505 +/- 0.008,3
TCGA-BRCA,logreg_early,2,dnam+mirna,0.766 +/- 0.009,0.748 +/- 0.005,0.773 +/- 0.005,0.652 +/- 0.008,3
TCGA-BRCA,logreg_early,2,dnam+rppa,0.778 +/- 0.001,0.774 +/- 0.002,0.789 +/- 0.003,0.669 +/- 0.005,3
TCGA-BRCA,logreg_early,2,mirna+cnv,0.767 +/- 0.008,0.747 +/- 0.010,0.785 +/- 0.008,0.669 +/- 0.013,3
TCGA-BRCA,logreg_early,2,mrna+cnv,0.807 +/- 0.010,0.787 +/- 0.011,0.808 +/- 0.008,0.706 +/- 0.012,3
TCGA-BRCA,logreg_early,2,mrna+dnam,0.822 +/- 0.011,0.814 +/- 0.006,0.827 +/- 0.003,0.731 +/- 0.007,3
TCGA-BRCA,logreg_early,2,mrna+mirna,0.819 +/- 0.007,0.815 +/- 0.008,0.832 +/- 0.008,0.737 +/- 0.011,3
TCGA-BRCA,logreg_early,2,mrna+rppa,0.843 +/- 0.017,0.839 +/- 0.015,0.852 +/- 0.014,0.769 +/- 0.021,3
TCGA-BRCA,logreg_early,2,rppa+cnv,0.740 +/- 0.005,0.729 +/- 0.007,0.759 +/- 0.007,0.625 +/- 0.012,3
TCGA-BRCA,logreg_early,2,rppa+mirna,0.806 +/- 0.013,0.799 +/- 0.015,0.820 +/- 0.010,0.720 +/- 0.016,3
TCGA-BRCA,logreg_early,3,dnam+mirna+cnv,0.766 +/- 0.014,0.751 +/- 0.016,0.780 +/- 0.013,0.662 +/- 0.019,3
TCGA-BRCA,logreg_early,3,dnam+rppa+cnv,0.781 +/- 0.003,0.775 +/- 0.005,0.793 +/- 0.006,0.677 +/- 0.007,3
TCGA-BRCA,logreg_early,3,dnam+rppa+mirna,0.796 +/- 0.014,0.797 +/- 0.014,0.825 +/- 0.008,0.725 +/- 0.013,3
TCGA-BRCA,logreg_early,3,mrna+dnam+cnv,0.831 +/- 0.004,0.822 +/- 0.004,0.835 +/- 0.006,0.743 +/- 0.009,3
