dataset,model,n_omics,omic_combination,balanced_accuracy,macro_f1,accuracy,mcc,n_units
TCGA-BRCA,pnet,3,mrna+rppa+mirna,0.776 +/- 0.015,0.796 +/- 0.006,0.828 +/- 0.004,0.723 +/- 0.007,3
TCGA-BRCA,pnet,3,rppa+mirna+cnv,0.760 +/- 0.008,0.780 +/- 0.003,0.823 +/- 0.003,0.714 +/- 0.006,3
TCGA-BRCA,pnet,4,dnam+rppa+mirna+cnv,0.775 +/- 0.023,0.794 +/- 0.020,0.826 +/- 0.017,0.719 +/- 0.030,3
TCGA-BRCA,pnet,4,mrna+dnam+mirna+cnv,0.779 +/- 0.009,0.794 +/- 0.007,0.825 +/- 0.007,0.717 +/- 0.013,3
TCGA-BRCA,pnet,4,mrna+dnam+rppa+cnv,0.823 +/- 0.005,0.827 +/- 0.002,0.850 +/- 0.001,0.760 +/- 0.002,3
TCGA-BRCA,pnet,4,mrna+dnam+rppa+mirna,0.787 +/- 0.027,0.812 +/- 0.019,0.839 +/- 0.020,0.741 +/- 0.033,3
TCGA-BRCA,pnet,4,mrna+rppa+mirna+cnv,0.776 +/- 0.010,0.798 +/- 0.008,0.833 +/- 0.005,0.730 +/- 0.009,3
TCGA-BRCA,pnet,5,mrna+dnam+rppa+mirna+cnv,0.793 +/- 0.017,0.811 +/- 0.013,0.840 +/- 0.008,0.741 +/- 0.013,3
TCGA-BRCA,svm_early,1,cnv,0.538 +/- 0.009,0.521 +/- 0.009,0.574 +/- 0.016,0.351 +/- 0.019,3
TCGA-BRCA,svm_early,1,dnam,0.613 +/- 0.008,0.645 +/- 0.011,0.677 +/- 0.013,0.476 +/- 0.017,3
TCGA-BRCA,svm_early,1,mirna,0.770 +/- 0.007,0.765 +/- 0.007,0.792 +/- 0.005,0.690 +/- 0.008,3
TCGA-BRCA,svm_early,1,mrna,0.834 +/- 0.005,0.827 +/- 0.005,0.830 +/- 0.003,0.740 +/- 0.006,3
TCGA-BRCA,svm_early,1,rppa,0.709 +/- 0.006,0.737 +/- 0.004,0.762 +/- 0.005,0.613 +/- 0.009,3
TCGA-BRCA,svm_early,2,dnam+cnv,0.662 +/- 0.004,0.653 +/- 0.005,0.671 +/- 0.011,0.495 +/- 0.010,3
TCGA-BRCA,svm_early,2,dnam+mirna,0.793 +/- 0.008,0.783 +/- 0.006,0.804 +/- 0.007,0.704 +/- 0.010,3
TCGA-BRCA,svm_early,2,dnam+rppa,0.794 +/- 0.003,0.800 +/- 0.003,0.809 +/- 0.004,0.698 +/- 0.006,3
TCGA-BRCA,svm_early,2,mirna+cnv,0.774 +/- 0.003,0.756 +/- 0.004,0.792 +/- 0.003,0.682 +/- 0.005,3
TCGA-BRCA,svm_early,2,mrna+cnv,0.818 +/- 0.003,0.798 +/- 0.004,0.812 +/- 0.003,0.713 +/- 0.005,3
TCGA-BRCA,svm_early,2,mrna+dnam,0.850 +/- 0.003,0.834 +/- 0.004,0.840 +/- 0.006,0.760 +/- 0.007,3
TCGA-BRCA,svm_early,2,mrna+mirna,0.845 +/- 0.002,0.831 +/- 0.002,0.843 +/- 0.004,0.763 +/- 0.005,3
TCGA-BRCA,svm_early,2,mrna+rppa,0.858 +/- 0.004,0.854 +/- 0.002,0.856 +/- 0.004,0.777 +/- 0.007,3
TCGA-BRCA,svm_early,2,rppa+cnv,0.747 +/- 0.003,0.736 +/- 0.002,0.765 +/- 0.002,0.633 +/- 0.004,3
TCGA-BRCA,svm_early,2,rppa+mirna,0.819 +/- 0.004,0.821 +/- 0.004,0.839 +/- 0.005,0.750 +/- 0.007,3
TCGA-BRCA,svm_early,3,dnam+mirna+cnv,0.794 +/- 0.005,0.776 +/- 0.006,0.803 +/- 0.007,0.700 +/- 0.011,3
TCGA-BRCA,svm_early,3,dnam+rppa+cnv,0.789 +/- 0.004,0.778 +/- 0.005,0.800 +/- 0.002,0.690 +/- 0.004,3
TCGA-BRCA,svm_early,3,dnam+rppa+mirna,0.830 +/- 0.006,0.825 +/- 0.005,0.841 +/- 0.005,0.754 +/- 0.007,3
TCGA-BRCA,svm_early,3,mrna+dnam+cnv,0.830 +/- 0.005,0.806 +/- 0.007,0.820 +/- 0.008,0.728 +/- 0.012,3
TCGA-BRCA,svm_early,3,mrna+dnam+mirna,0.861 +/- 0.003,0.850 +/- 0.002,0.856 +/- 0.004,0.781 +/- 0.006,3
TCGA-BRCA,svm_early,3,mrna+dnam+rppa,0.858 +/- 0.004,0.847 +/- 0.001,0.852 +/- 0.003,0.773 +/- 0.004,3
TCGA-BRCA,svm_early,3,mrna+mirna+cnv,0.840 +/- 0.002,0.822 +/- 0.003,0.837 +/- 0.001,0.754 +/- 0.002,3
TCGA-BRCA,svm_early,3,mrna+rppa+cnv,0.836 +/- 0.006,0.827 +/- 0.005,0.836 +/- 0.005,0.747 +/- 0.007,3
TCGA-BRCA,svm_early,3,mrna+rppa+mirna,0.856 +/- 0.009,0.848 +/- 0.009,0.852 +/- 0.007,0.774 +/- 0.011,3
TCGA-BRCA,svm_early,3,rppa+mirna+cnv,0.801 +/- 0.007,0.789 +/- 0.007,0.824 +/- 0.005,0.727 +/- 0.007,3
TCGA-BRCA,svm_early,4,dnam+rppa+mirna+cnv,0.816 +/- 0.007,0.803 +/- 0.006,0.824 +/- 0.001,0.730 +/- 0.004,3
TCGA-BRCA,svm_early,4,mrna+dnam+mirna+cnv,0.833 +/- 0.009,0.815 +/- 0.005,0.834 +/- 0.008,0.747 +/- 0.013,3
TCGA-BRCA,svm_early,4,mrna+dnam+rppa+cnv,0.836 +/- 0.004,0.821 +/- 0.003,0.830 +/- 0.002,0.742 +/- 0.003,3
TCGA-BRCA,svm_early,4,mrna+dnam+rppa+mirna,0.859 +/- 0.002,0.848 +/- 0.003,0.855 +/- 0.010,0.778 +/- 0.013,3
TCGA-BRCA,svm_early,4,mrna+rppa+mirna+cnv,0.845 +/- 0.002,0.834 +/- 0.002,0.845 +/- 0.003,0.763 +/- 0.003,3
TCGA-BRCA,svm_early,5,mrna+dnam+rppa+mirna+cnv,0.837 +/- 0.008,0.826 +/- 0.007,0.840 +/- 0.007,0.754 +/- 0.010,3
TCGA-KIPAN,integrao,1,cnv,0.449 +/- 0.017,0.387 +/- 0.015,0.533 +/- 0.013,0.227 +/- 0.036,3
TCGA-KIPAN,integrao,1,dnam,0.750 +/- 0.014,0.714 +/- 0.020,0.692 +/- 0.024,0.547 +/- 0.034,3
TCGA-KIPAN,integrao,1,mirna,0.334 +/- 0.001,0.252 +/- 0.003,0.595 +/- 0.001,0.007 +/- 0.005,3
TCGA-KIPAN,integrao,1,mrna,0.333 +/- 0.001,0.249 +/- 0.002,0.594 +/- 0.001,-0.003 +/- 0.007,3
TCGA-KIPAN,integrao,1,rppa,0.877 +/- 0.005,0.879 +/- 0.008,0.898 +/- 0.005,0.822 +/- 0.007,3
TCGA-KIPAN,integrao,2,dnam+cnv,0.800 +/- 0.002,0.752 +/- 0.005,0.780 +/- 0.001,0.641 +/- 0.003,3
TCGA-KIPAN,integrao,2,dnam+mirna,0.720 +/- 0.015,0.685 +/- 0.021,0.735 +/- 0.042,0.560 +/- 0.054,3
TCGA-KIPAN,integrao,2,dnam+rppa,0.915 +/- 0.004,0.907 +/- 0.009,0.932 +/- 0.006,0.877 +/- 0.011,3
TCGA-KIPAN,integrao,2,mirna+cnv,0.450 +/- 0.005,0.399 +/- 0.012,0.541 +/- 0.020,0.242 +/- 0.012,3
TCGA-KIPAN,integrao,2,mrna+cnv,0.457 +/- 0.008,0.403 +/- 0.012,0.529 +/- 0.010,0.244 +/- 0.013,3
TCGA-KIPAN,integrao,2,mrna+dnam,0.755 +/- 0.032,0.734 +/- 0.040,0.779 +/- 0.041,0.626 +/- 0.055,3
TCGA-KIPAN,integrao,2,mrna+mirna,0.328 +/- 0.008,0.190 +/- 0.027,0.394 +/- 0.041,-0.004 +/- 0.023,3
TCGA-KIPAN,integrao,2,mrna+rppa,0.846 +/- 0.035,0.842 +/- 0.042,0.875 +/- 0.024,0.775 +/- 0.042,3
TCGA-KIPAN,integrao,2,rppa+cnv,0.887 +/- 0.002,0.871 +/- 0.006,0.913 +/- 0.002,0.843 +/- 0.002,3
TCGA-KIPAN,integrao,2,rppa+mirna,0.853 +/- 0.024,0.852 +/- 0.022,0.883 +/- 0.013,0.791 +/- 0.025,3
TCGA-KIPAN,integrao,3,dnam+mirna+cnv,0.770 +/- 0.033,0.727 +/- 0.039,0.762 +/- 0.032,0.606 +/- 0.048,3
TCGA-KIPAN,integrao,3,dnam+rppa+cnv,0.916 +/- 0.010,0.892 +/- 0.003,0.928 +/- 0.002,0.869 +/- 0.004,3
TCGA-KIPAN,integrao,3,dnam+rppa+mirna,0.871 +/- 0.008,0.868 +/- 0.004,0.903 +/- 0.010,0.823 +/- 0.015,3
TCGA-KIPAN,integrao,3,mrna+dnam+cnv,0.768 +/- 0.009,0.728 +/- 0.014,0.776 +/- 0.013,0.613 +/- 0.017,3
TCGA-KIPAN,integrao,3,mrna+dnam+mirna,0.705 +/- 0.036,0.679 +/- 0.040,0.717 +/- 0.027,0.525 +/- 0.050,3
TCGA-KIPAN,integrao,3,mrna+dnam+rppa,0.883 +/- 0.024,0.880 +/- 0.034,0.915 +/- 0.022,0.845 +/- 0.036,3
TCGA-KIPAN,integrao,3,mrna+mirna+cnv,0.452 +/- 0.003,0.387 +/- 0.011,0.529 +/- 0.008,0.226 +/- 0.012,3
TCGA-KIPAN,integrao,3,mrna+rppa+cnv,0.883 +/- 0.008,0.861 +/- 0.013,0.897 +/- 0.008,0.818 +/- 0.010,3
TCGA-KIPAN,integrao,3,mrna+rppa+mirna,0.850 +/- 0.006,0.846 +/- 0.005,0.872 +/- 0.001,0.771 +/- 0.002,3
TCGA-KIPAN,integrao,3,rppa+mirna+cnv,0.860 +/- 0.026,0.837 +/- 0.031,0.885 +/- 0.019,0.797 +/- 0.032,3
TCGA-KIPAN,integrao,4,dnam+rppa+mirna+cnv,0.891 +/- 0.009,0.867 +/- 0.011,0.905 +/- 0.007,0.830 +/- 0.011,3
TCGA-KIPAN,integrao,4,mrna+dnam+mirna+cnv,0.749 +/- 0.044,0.719 +/- 0.054,0.760 +/- 0.037,0.585 +/- 0.058,3
TCGA-KIPAN,integrao,4,mrna+dnam+rppa+cnv,0.880 +/- 0.011,0.852 +/- 0.012,0.897 +/- 0.007,0.821 +/- 0.013,3
TCGA-KIPAN,integrao,4,mrna+dnam+rppa+mirna,0.859 +/- 0.019,0.855 +/- 0.021,0.898 +/- 0.008,0.814 +/- 0.014,3
TCGA-KIPAN,integrao,4,mrna+rppa+mirna+cnv,0.836 +/- 0.024,0.803 +/- 0.023,0.863 +/- 0.018,0.768 +/- 0.026,3
TCGA-KIPAN,integrao,5,mrna+dnam+rppa+mirna+cnv,0.877 +/- 0.027,0.860 +/- 0.026,0.900 +/- 0.011,0.819 +/- 0.021,3
TCGA-KIPAN,logreg_early,1,cnv,0.510 +/- 0.001,0.378 +/- 0.001,0.411 +/- 0.001,0.292 +/- 0.002,3
TCGA-KIPAN,logreg_early,1,dnam,0.857 +/- 0.007,0.870 +/- 0.006,0.887 +/- 0.004,0.788 +/- 0.008,3
TCGA-KIPAN,logreg_early,1,mirna,0.898 +/- 0.007,0.810 +/- 0.006,0.871 +/- 0.006,0.790 +/- 0.010,3
TCGA-KIPAN,logreg_early,1,mrna,0.881 +/- 0.007,0.805 +/- 0.005,0.868 +/- 0.005,0.779 +/- 0.009,3
TCGA-KIPAN,logreg_early,1,rppa,0.904 +/- 0.004,0.896 +/- 0.005,0.907 +/- 0.004,0.844 +/- 0.006,3
TCGA-KIPAN,logreg_early,2,dnam+cnv,0.858 +/- 0.007,0.870 +/- 0.006,0.883 +/- 0.005,0.780 +/- 0.009,3
TCGA-KIPAN,logreg_early,2,dnam+mirna,0.906 +/- 0.012,0.852 +/- 0.005,0.902 +/- 0.005,0.829 +/- 0.008,3
TCGA-KIPAN,logreg_early,2,dnam+rppa,0.902 +/- 0.014,0.872 +/- 0.018,0.909 +/- 0.006,0.842 +/- 0.010,3
TCGA-KIPAN,logreg_early,2,mirna+cnv,0.896 +/- 0.010,0.840 +/- 0.005,0.900 +/- 0.003,0.826 +/- 0.007,3
TCGA-KIPAN,logreg_early,2,mrna+cnv,0.889 +/- 0.019,0.831 +/- 0.015,0.887 +/- 0.012,0.804 +/- 0.020,3
TCGA-KIPAN,logreg_early,2,mrna+dnam,0.915 +/- 0.021,0.874 +/- 0.014,0.914 +/- 0.012,0.848 +/- 0.022,3
TCGA-KIPAN,logreg_early,2,mrna+mirna,0.927 +/- 0.003,0.881 +/- 0.005,0.926 +/- 0.006,0.869 +/- 0.010,3
TCGA-KIPAN,logreg_early,2,mrna+rppa,0.965 +/- 0.003,0.938 +/- 0.003,0.963 +/- 0.002,0.934 +/- 0.003,3
TCGA-KIPAN,logreg_early,2,rppa+cnv,0.913 +/- 0.005,0.904 +/- 0.011,0.928 +/- 0.006,0.875 +/- 0.009,3
TCGA-KIPAN,logreg_early,2,rppa+mirna,0.961 +/- 0.007,0.941 +/- 0.008,0.966 +/- 0.005,0.938 +/- 0.009,3
TCGA-KIPAN,logreg_early,3,dnam+mirna+cnv,0.922 +/- 0.006,0.879 +/- 0.006,0.919 +/- 0.006,0.855 +/- 0.011,3
TCGA-KIPAN,logreg_early,3,dnam+rppa+cnv,0.920 +/- 0.003,0.906 +/- 0.016,0.931 +/- 0.008,0.878 +/- 0.013,3
TCGA-KIPAN,logreg_early,3,dnam+rppa+mirna,0.966 +/- 0.004,0.942 +/- 0.006,0.964 +/- 0.003,0.935 +/- 0.004,3
TCGA-KIPAN,logreg_early,3,mrna+dnam+cnv,0.908 +/- 0.010,0.881 +/- 0.004,0.918 +/- 0.002,0.851 +/- 0.004,3
TCGA-KIPAN,logreg_early,3,mrna+dnam+mirna,0.933 +/- 0.004,0.901 +/- 0.004,0.935 +/- 0.002,0.883 +/- 0.003,3
TCGA-KIPAN,logreg_early,3,mrna+dnam+rppa,0.960 +/- 0.010,0.935 +/- 0.009,0.960 +/- 0.005,0.927 +/- 0.009,3
TCGA-KIPAN,logreg_early,3,mrna+mirna+cnv,0.926 +/- 0.009,0.888 +/- 0.008,0.929 +/- 0.006,0.872 +/- 0.011,3
TCGA-KIPAN,logreg_early,3,mrna+rppa+cnv,0.954 +/- 0.006,0.926 +/- 0.005,0.955 +/- 0.003,0.919 +/- 0.006,3
TCGA-KIPAN,logreg_early,3,mrna+rppa+mirna,0.963 +/- 0.010,0.944 +/- 0.013,0.965 +/- 0.006,0.936 +/- 0.009,3
TCGA-KIPAN,logreg_early,3,rppa+mirna+cnv,0.953 +/- 0.007,0.931 +/- 0.011,0.960 +/- 0.005,0.928 +/- 0.008,3
TCGA-KIPAN,logreg_early,4,dnam+rppa+mirna+cnv,0.958 +/- 0.007,0.939 +/- 0.005,0.962 +/- 0.003,0.930 +/- 0.006,3
TCGA-KIPAN,logreg_early,4,mrna+dnam+mirna+cnv,0.937 +/- 0.002,0.904 +/- 0.003,0.938 +/- 0.004,0.887 +/- 0.008,3
TCGA-KIPAN,logreg_early,4,mrna+dnam+rppa+cnv,0.961 +/- 0.004,0.936 +/- 0.006,0.959 +/- 0.004,0.925 +/- 0.008,3
TCGA-KIPAN,logreg_early,4,mrna+dnam+rppa+mirna,0.963 +/- 0.010,0.941 +/- 0.011,0.962 +/- 0.005,0.931 +/- 0.009,3
TCGA-KIPAN,logreg_early,4,mrna+rppa+mirna+cnv,0.960 +/- 0.005,0.944 +/- 0.009,0.966 +/- 0.004,0.937 +/- 0.007,3
TCGA-KIPAN,logreg_early,5,mrna+dnam+rppa+mirna+cnv,0.964 +/- 0.008,0.945 +/- 0.002,0.966 +/- 0.001,0.938 +/- 0.003,3
TCGA-KIPAN,logreg_late,1,cnv,0.504 +/- 0.001,0.435 +/- 0.002,0.567 +/- 0.001,0.282 +/- 0.002,3
TCGA-KIPAN,logreg_late,1,dnam,0.863 +/- 0.007,0.881 +/- 0.004,0.896 +/- 0.005,0.805 +/- 0.010,3
TCGA-KIPAN,logreg_late,1,mirna,0.855 +/- 0.004,0.878 +/- 0.004,0.918 +/- 0.003,0.845 +/- 0.006,3
TCGA-KIPAN,logreg_late,1,mrna,0.837 +/- 0.005,0.861 +/- 0.004,0.915 +/- 0.001,0.840 +/- 0.003,3
TCGA-KIPAN,logreg_late,1,rppa,0.855 +/- 0.001,0.888 +/- 0.002,0.898 +/- 0.002,0.815 +/- 0.003,3
TCGA-KIPAN,logreg_late,2,dnam+cnv,0.856 +/- 0.010,0.775 +/- 0.008,0.830 +/- 0.007,0.712 +/- 0.011,3
TCGA-KIPAN,logreg_late,2,dnam+mirna,0.912 +/- 0.005,0.916 +/- 0.007,0.936 +/- 0.005,0.881 +/- 0.009,3
TCGA-KIPAN,logreg_late,2,dnam+rppa,0.921 +/- 0.004,0.935 +/- 0.003,0.952 +/- 0.001,0.911 +/- 0.002,3
TCGA-KIPAN,logreg_late,2,mirna+cnv,0.906 +/- 0.005,0.886 +/- 0.005,0.925 +/- 0.004,0.862 +/- 0.008,3
TCGA-KIPAN,logreg_late,2,mrna+cnv,0.884 +/- 0.007,0.870 +/- 0.005,0.918 +/- 0.004,0.850 +/- 0.009,3
TCGA-KIPAN,logreg_late,2,mrna+dnam,0.909 +/- 0.004,0.910 +/- 0.005,0.938 +/- 0.003,0.884 +/- 0.005,3
TCGA-KIPAN,logreg_late,2,mrna+mirna,0.899 +/- 0.006,0.910 +/- 0.013,0.941 +/- 0.006,0.889 +/- 0.011,3
TCGA-KIPAN,logreg_late,2,mrna+rppa,0.940 +/- 0.005,0.944 +/- 0.008,0.970 +/- 0.003,0.943 +/- 0.006,3
TCGA-KIPAN,logreg_late,2,rppa+cnv,0.901 +/- 0.003,0.849 +/- 0.003,0.908 +/- 0.001,0.837 +/- 0.003,3
TCGA-KIPAN,logreg_late,2,rppa+mirna,0.942 +/- 0.003,0.948 +/- 0.002,0.970 +/- 0.003,0.945 +/- 0.006,3
TCGA-KIPAN,logreg_late,3,dnam+mirna+cnv,0.948 +/- 0.007,0.925 +/- 0.007,0.943 +/- 0.004,0.896 +/- 0.007,3
TCGA-KIPAN,logreg_late,3,dnam+rppa+cnv,0.952 +/- 0.001,0.928 +/- 0.002,0.952 +/- 0.001,0.913 +/- 0.002,3
TCGA-KIPAN,logreg_late,3,dnam+rppa+mirna,0.938 +/- 0.006,0.942 +/- 0.006,0.967 +/- 0.006,0.938 +/- 0.011,3
TCGA-KIPAN,logreg_late,3,mrna+dnam+cnv,0.950 +/- 0.003,0.928 +/- 0.004,0.947 +/- 0.002,0.903 +/- 0.003,3
TCGA-KIPAN,logreg_late,3,mrna+dnam+mirna,0.924 +/- 0.001,0.925 +/- 0.003,0.949 +/- 0.001,0.905 +/- 0.002,3
TCGA-KIPAN,logreg_late,3,mrna+dnam+rppa,0.937 +/- 0.002,0.941 +/- 0.004,0.966 +/- 0.001,0.937 +/- 0.002,3
TCGA-KIPAN,logreg_late,3,mrna+mirna+cnv,0.942 +/- 0.006,0.923 +/- 0.004,0.949 +/- 0.004,0.907 +/- 0.008,3
TCGA-KIPAN,logreg_late,3,mrna+rppa+cnv,0.967 +/- 0.008,0.953 +/- 0.009,0.968 +/- 0.004,0.941 +/- 0.008,3
TCGA-KIPAN,logreg_late,3,mrna+rppa+mirna,0.942 +/- 0.005,0.946 +/- 0.006,0.968 +/- 0.003,0.940 +/- 0.006,3
TCGA-KIPAN,logreg_late,3,rppa+mirna+cnv,0.973 +/- 0.004,0.963 +/- 0.004,0.975 +/- 0.004,0.954 +/- 0.008,3
TCGA-KIPAN,logreg_late,4,dnam+rppa+mirna+cnv,0.974 +/- 0.004,0.960 +/- 0.003,0.973 +/- 0.003,0.950 +/- 0.005,3
TCGA-KIPAN,logreg_late,4,mrna+dnam+mirna+cnv,0.961 +/- 0.009,0.944 +/- 0.009,0.960 +/- 0.006,0.926 +/- 0.010,3
TCGA-KIPAN,logreg_late,4,mrna+dnam+rppa+cnv,0.970 +/- 0.002,0.957 +/- 0.002,0.970 +/- 0.002,0.946 +/- 0.004,3
TCGA-KIPAN,logreg_late,4,mrna+dnam+rppa+mirna,0.938 +/- 0.004,0.941 +/- 0.005,0.966 +/- 0.003,0.936 +/- 0.007,3
TCGA-KIPAN,logreg_late,4,mrna+rppa+mirna+cnv,0.976 +/- 0.004,0.966 +/- 0.003,0.975 +/- 0.002,0.954 +/- 0.004,3
TCGA-KIPAN,logreg_late,5,mrna+dnam+rppa+mirna+cnv,0.977 +/- 0.001,0.964 +/- 0.003,0.974 +/- 0.002,0.953 +/- 0.003,3
TCGA-KIPAN,mofa,1,cnv,0.453 +/- 0.034,0.363 +/- 0.051,0.436 +/- 0.084,0.255 +/- 0.067,3
TCGA-KIPAN,mofa,1,dnam,0.738 +/- 0.003,0.714 +/- 0.001,0.673 +/- 0.000,0.477 +/- 0.001,3
TCGA-KIPAN,mofa,1,rppa,0.448 +/- 0.020,0.388 +/- 0.011,0.451 +/- 0.004,0.148 +/- 0.023,3
TCGA-KIPAN,mofa,2,dnam+cnv,0.702 +/- 0.028,0.632 +/- 0.069,0.598 +/- 0.049,0.420 +/- 0.043,3
TCGA-KIPAN,mofa,2,dnam+mirna,0.730 +/- 0.018,0.698 +/- 0.027,0.666 +/- 0.013,0.467 +/- 0.017,3
TCGA-KIPAN,mofa,2,dnam+rppa,0.515 +/- 0.076,0.450 +/- 0.071,0.485 +/- 0.067,0.267 +/- 0.100,3
TCGA-KIPAN,mofa,2,mirna+cnv,0.427 +/- 0.025,0.282 +/- 0.084,0.319 +/- 0.114,0.182 +/- 0.063,3
TCGA-KIPAN,mofa,2,mrna+cnv,0.454 +/- 0.025,0.307 +/- 0.060,0.333 +/- 0.068,0.219 +/- 0.054,3
TCGA-KIPAN,mofa,2,mrna+dnam,0.739 +/- 0.003,0.716 +/- 0.002,0.674 +/- 0.002,0.477 +/- 0.001,3
TCGA-KIPAN,mofa,2,mrna+rppa,0.385 +/- 0.016,0.332 +/- 0.007,0.458 +/- 0.024,0.104 +/- 0.027,3
TCGA-KIPAN,mofa,2,rppa+cnv,0.648 +/- 0.039,0.627 +/- 0.017,0.728 +/- 0.019,0.532 +/- 0.035,3
TCGA-KIPAN,mofa,2,rppa+mirna,0.384 +/- 0.023,0.318 +/- 0.021,0.435 +/- 0.011,0.084 +/- 0.020,3
TCGA-KIPAN,mofa,3,dnam+mirna+cnv,0.680 +/- 0.031,0.572 +/- 0.042,0.553 +/- 0.041,0.391 +/- 0.032,3
TCGA-KIPAN,mofa,3,dnam+rppa+cnv,0.614 +/- 0.125,0.530 +/- 0.141,0.558 +/- 0.137,0.395 +/- 0.179,3
TCGA-KIPAN,mofa,3,dnam+rppa+mirna,0.523 +/- 0.139,0.421 +/- 0.175,0.449 +/- 0.166,0.264 +/- 0.204,3
TCGA-KIPAN,mofa,3,mrna+dnam+cnv,0.710 +/- 0.012,0.632 +/- 0.030,0.612 +/- 0.023,0.436 +/- 0.024,3
TCGA-KIPAN,mofa,3,mrna+dnam+mirna,0.712 +/- 0.022,0.684 +/- 0.033,0.667 +/- 0.013,0.458 +/- 0.024,3
TCGA-KIPAN,mofa,3,mrna+dnam+rppa,0.478 +/- 0.108,0.383 +/- 0.140,0.406 +/- 0.143,0.200 +/- 0.169,3
TCGA-KIPAN,mofa,3,mrna+mirna+cnv,0.481 +/- 0.018,0.354 +/- 0.028,0.389 +/- 0.030,0.264 +/- 0.023,3
TCGA-KIPAN,mofa,3,mrna+rppa+cnv,0.674 +/- 0.050,0.652 +/- 0.051,0.765 +/- 0.028,0.580 +/- 0.056,3
TCGA-KIPAN,mofa,3,mrna+rppa+mirna,0.372 +/- 0.002,0.311 +/- 0.018,0.425 +/- 0.033,0.088 +/- 0.038,3
TCGA-KIPAN,mofa,3,rppa+mirna+cnv,0.585 +/- 0.079,0.566 +/- 0.060,0.682 +/- 0.053,0.456 +/- 0.100,3
TCGA-KIPAN,mofa,4,dnam+rppa+mirna+cnv,0.687 +/- 0.196,0.621 +/- 0.235,0.655 +/- 0.229,0.499 +/- 0.294,3
TCGA-KIPAN,mofa,4,mrna+dnam+mirna+cnv,0.646 +/- 0.042,0.546 +/- 0.059,0.553 +/- 0.081,0.360 +/- 0.044,3
TCGA-KIPAN,mofa,4,mrna+dnam+rppa+cnv,0.643 +/- 0.071,0.557 +/- 0.078,0.584 +/- 0.077,0.435 +/- 0.099,3
TCGA-KIPAN,mofa,4,mrna+dnam+rppa+mirna,0.445 +/- 0.066,0.335 +/- 0.086,0.367 +/- 0.090,0.153 +/- 0.101,3
TCGA-KIPAN,mofa,4,mrna+rppa+mirna+cnv,0.543 +/- 0.042,0.541 +/- 0.060,0.669 +/- 0.055,0.424 +/- 0.078,3
TCGA-KIPAN,mofa,5,mrna+dnam+rppa+mirna+cnv,0.584 +/- 0.091,0.482 +/- 0.122,0.509 +/- 0.124,0.347 +/- 0.145,3
TCGA-KIPAN,pca_logreg,1,cnv,0.453 +/- 0.009,0.370 +/- 0.028,0.460 +/- 0.066,0.275 +/- 0.035,3
TCGA-KIPAN,pca_logreg,1,dnam,0.839 +/- 0.010,0.853 +/- 0.004,0.871 +/- 0.004,0.757 +/- 0.009,3
TCGA-KIPAN,pca_logreg,1,mirna,0.333 +/- 0.000,0.249 +/- 0.000,0.595 +/- 0.000,0.000 +/- 0.000,3
TCGA-KIPAN,pca_logreg,1,mrna,0.333 +/- 0.000,0.249 +/- 0.000,0.595 +/- 0.000,0.000 +/- 0.000,3
TCGA-KIPAN,pca_logreg,1,rppa,0.901 +/- 0.005,0.893 +/- 0.008,0.903 +/- 0.004,0.838 +/- 0.005,3
TCGA-KIPAN,pca_logreg,2,dnam+cnv,0.836 +/- 0.007,0.838 +/- 0.013,0.856 +/- 0.016,0.740 +/- 0.020,3
TCGA-KIPAN,pca_logreg,2,dnam+mirna,0.839 +/- 0.003,0.854 +/- 0.003,0.876 +/- 0.006,0.766 +/- 0.011,3
TCGA-KIPAN,pca_logreg,2,dnam+rppa,0.910 +/- 0.005,0.912 +/- 0.003,0.933 +/- 0.002,0.876 +/- 0.004,3
TCGA-KIPAN,pca_logreg,2,mirna+cnv,0.473 +/- 0.019,0.367 +/- 0.034,0.446 +/- 0.094,0.290 +/- 0.031,3
TCGA-KIPAN,pca_logreg,2,mrna+cnv,0.477 +/- 0.010,0.372 +/- 0.023,0.457 +/- 0.059,0.292 +/- 0.036,3
TCGA-KIPAN,pca_logreg,2,mrna+dnam,0.841 +/- 0.011,0.854 +/- 0.010,0.870 +/- 0.006,0.755 +/- 0.011,3
TCGA-KIPAN,pca_logreg,2,mrna+mirna,0.333 +/- 0.000,0.249 +/- 0.000,0.595 +/- 0.000,0.000 +/- 0.000,3
TCGA-KIPAN,pca_logreg,2,mrna+rppa,0.904 +/- 0.001,0.897 +/- 0.002,0.905 +/- 0.001,0.841 +/- 0.002,3
TCGA-KIPAN,pca_logreg,2,rppa+cnv,0.896 +/- 0.002,0.876 +/- 0.011,0.906 +/- 0.010,0.839 +/- 0.013,3
TCGA-KIPAN,pca_logreg,2,rppa+mirna,0.892 +/- 0.017,0.886 +/- 0.012,0.897 +/- 0.011,0.825 +/- 0.022,3
TCGA-KIPAN,pca_logreg,3,dnam+mirna+cnv,0.837 +/- 0.007,0.839 +/- 0.009,0.860 +/- 0.008,0.737 +/- 0.016,3
TCGA-KIPAN,pca_logreg,3,dnam+rppa+cnv,0.907 +/- 0.009,0.907 +/- 0.017,0.931 +/- 0.006,0.873 +/- 0.010,3
TCGA-KIPAN,pca_logreg,3,dnam+rppa+mirna,0.912 +/- 0.004,0.916 +/- 0.005,0.938 +/- 0.002,0.885 +/- 0.003,3
